fema_risk_score,fema_hurricane,fema_tornado,fema_wildfire,fema_earthquake,fema_heat,fema_winter_weather,fema_drought,fips,fema_flood
57.56997455470738,72.090112640801,74.10941475826972,45.73791348600509,67.84351145038168,85.90237636480411,9.038828771483132,45.64249363867685,01001,65.52162849872774
96.72391857506362,99.24906132665832,92.84351145038168,90.77608142493638,72.39185750636132,92.1965317919075,59.3252705283259,74.52290076335878,01003,92.20737913486005
48.1234096692112,79.9749687108886,78.62595419847328,48.854961832061065,53.721374045801525,69.46050096339114,11.807765754296625,70.0381679389313,01005,50.76335877862596
39.12213740458015,50.06257822277848,77.16284987277355,48.66412213740458,62.43638676844784,59.69813744380218,6.938255887969447,33.87404580152672,01007,48.918575063613225
68.4796437659033,62.99541093032958,92.01653944020356,65.04452926208651,72.7735368956743,69.49261400128452,20.878421387651176,55.18447837150128,01009,69.46564885496184
25.254452926208653,76.17855652899458,56.74300254452926,46.087786259541986,45.48346055979644,49.96788696210662,3.755569700827498,90.99872773536896,01011,20.165394402035624
45.16539440203562,85.85732165206508,67.23918575063614,31.075063613231553,52.703562340966926,56.1014771997431,6.651814131126671,37.086513994910945,01013,36.1323155216285
88.45419847328245,73.9674593241552,98.21882951653944,81.5203562340967,84.7328244274809,78.3558124598587,29.853596435391474,61.25954198473282,01015,89.53562340966921
47.23282442748092,70.17104714226116,67.30279898218829,51.653944020356235,57.538167938931295,82.7874116891458,8.752387014640355,38.708651399491096,01017,57.474554707379134
63.32697201017812,62.91197329995828,82.95165394402035,68.22519083969466,73.44147582697201,44.637122671804754,24.3475493316359,89.79007633587787,01019,70.41984732824427
54.70737913486005,58.072590738423024,85.7824427480916,63.26335877862596,66.03053435114504,68.11175337186897,9.007001909611713,41.348600508905854,01021,60.17811704834606
70.61068702290076,89.31998331247392,77.83078880407125,52.44910941475827,70.8969465648855,46.0179833012203,23.96562698917887,31.743002544529265,01023,73.53689567430025
53.40330788804071,89.61201501877348,67.77989821882952,43.92493638676845,52.608142493638674,66.21708413615927,27.625716104392104,27.067430025445294,01025,40.394402035623415
26.685750636132315,67.50104297037964,67.17557251908397,71.08778625954199,49.93638676844784,39.948619139370585,5.155951623169956,30.311704834605596,01027,35.30534351145038
27.480916030534353,65.4151022110972,70.0381679389313,67.27099236641222,47.23282442748092,35.32434168272319,7.033736473583704,48.473282442748086,01029,37.150127226463106
83.42875318066157,92.86608260325406,90.2671755725191,56.45674300254453,58.651399491094146,64.7077713551702,32.11330362826225,55.089058524173026,01031,84.4147582697201
80.6615776081425,59.99165623696287,87.59541984732824,28.27608142493639,91.98473282442748,81.11753371868978,31.06301718650541,60.20992366412214,01033,76.49491094147582
31.106870229007633,84.89778890279516,61.036895674300254,49.87277353689568,42.74809160305343,49.550417469492615,13.749204328453215,46.9147582697201,01035,23.505089058524174
14.567430025445294,55.15227367542762,37.27735368956743,64.44020356234097,37.62722646310432,39.30635838150289,2.41884150222788,20.35623409669211,01037,34.25572519083969
82.44274809160305,95.57780559032123,83.65139949109415,49.650127226463106,54.19847328244275,69.65317919075144,30.267345639719924,55.216284987277355,01039,69.0203562340967
34.38295165394402,84.56403838130997,63.199745547073796,25.159033078880405,36.291348600508904,48.426461143224145,5.569700827498409,36.38676844783715,01041,33.587786259541986
81.93384223918575,72.79933249895703,90.04452926208651,65.07633587786259,86.57760814249363,82.27360308285164,54.869509866327185,59.605597964376585,01043,80.24809160305344
67.74809160305344,89.27826449728828,87.91348600508906,44.56106870229007,49.07760814249364,66.98779704560052,28.039465308720562,63.07251908396947,01045,61.00508905852418
70.76972010178118,77.09637046307884,83.26972010178118,42.17557251908397,81.10687022900763,81.95247270391779,9.13430935709739,71.34223918575063,01047,75.19083969465649
80.37531806615776,69.67042136003337,88.26335877862596,73.75954198473282,85.55979643765903,64.03339755940912,77.62571610439211,87.27735368956743,01049,81.74300254452926
