fips,summer_high_f,winter_low_f,summer_avg_f,annual_avg_f,annual_precip_in,annual_snow_in
05013,90.7,33.2,80.0,62.5,54.6,1.2
05015,,,,,46.0,6.8
05017,91.0,35.5,80.9,63.9,58.0,0.7
05019,91.5,32.9,80.6,62.5,56.4,1.6
05021,89.0,30.1,78.9,59.5,49.5,3.9
05023,89.4,30.0,78.5,59.8,53.2,3.2
05025,89.9,34.7,80.0,62.7,58.0,1.4
05027,91.5,33.5,80.1,63.0,55.0,1.4
05029,90.7,30.1,79.4,60.5,51.8,3.3
05031,89.6,31.1,79.5,60.1,49.9,3.7
05033,90.6,29.3,78.8,60.0,51.7,3.9
05035,90.3,34.4,80.8,62.4,53.0,2.0
05037,90.0,33.0,80.3,61.6,50.8,1.9
05039,90.6,32.3,79.7,61.8,57.2,1.6
05041,89.4,36.2,80.3,63.1,53.0,0.5
05043,90.8,35.8,80.9,63.7,54.3,1.0
05045,90.4,29.3,78.9,60.0,51.5,3.0
05047,90.2,30.3,79.0,60.1,51.6,2.2
05049,88.3,26.7,77.1,57.6,49.5,5.2
05051,90.2,32.1,78.7,60.8,56.9,1.7
05053,90.9,31.5,79.8,61.5,55.6,2.3
05055,89.0,30.5,79.1,59.8,50.5,3.3
05057,91.1,33.0,80.2,62.5,54.8,2.3
05059,90.9,32.7,80.1,61.9,55.6,1.2
05061,90.8,32.2,79.6,61.9,54.4,2.0
05063,88.7,29.0,77.8,58.8,50.4,2.8
05065,87.3,26.4,76.0,57.0,49.5,6.6
05067,88.2,31.9,79.2,60.1,50.9,2.3
05069,90.3,34.9,80.5,62.8,53.0,2.7
05071,89.2,31.4,79.3,60.4,54.1,2.5
05073,91.8,34.9,80.7,63.6,52.3,1.1
05075,87.6,29.4,78.1,58.7,51.3,2.9
05077,89.9,34.2,80.2,62.2,51.7,1.3
05079,90.9,35.8,80.9,63.6,54.6,1.4
05081,91.8,34.9,81.2,63.4,52.6,1.4
05083,90.9,30.1,79.5,60.6,49.1,2.3
05085,89.8,32.0,79.3,61.2,52.3,2.9
05087,85.4,30.1,76.1,57.9,45.4,5.9
05089,87.4,27.8,77.0,57.8,44.9,6.9
05091,91.4,36.4,81.5,64.2,51.8,1.6
05093,89.8,32.8,80.4,61.3,50.1,2.4
05095,89.1,34.1,80.1,61.7,53.2,1.9
05097,89.6,30.8,78.4,60.4,57.8,3.6
05099,91.1,32.9,80.0,62.5,55.6,2.3
05101,83.0,27.9,74.4,55.9,53.8,8.4
05103,91.0,33.1,80.2,62.5,53.4,1.5
05105,90.4,31.5,79.8,61.1,54.6,2.3
05107,89.4,34.1,80.0,62.1,51.9,0.9
05109,89.1,30.4,77.7,60.1,57.8,1.4
05111,88.0,30.8,78.4,59.7,50.9,2.6
05113,87.2,30.6,76.9,59.2,60.3,2.8
05115,90.6,31.4,80.0,61.1,52.4,2.6
05117,89.8,34.1,80.6,61.9,51.8,2.4
05119,90.1,33.6,80.1,61.7,52.9,3.8
05121,88.4,28.2,78.0,58.5,52.2,5.1
05123,90.1,33.5,80.3,61.9,51.7,1.9
05125,90.3,32.0,80.0,61.7,54.2,1.9
05127,90.1,29.7,78.4,60.0,53.1,2.9
05129,87.4,27.5,76.5,57.7,49.1,4.4
05131,91.4,30.8,80.1,61.3,50.7,2.6
05133,91.5,32.8,80.4,62.6,51.9,2.5
05135,87.8,27.5,77.0,57.8,51.4,5.6
05137,89.4,30.4,78.5,59.7,52.6,4.9
05139,91.8,35.2,80.9,63.9,52.8,0.7
05141,85.2,26.5,75.4,56.3,54.1,4.1
05143,86.9,28.0,76.4,57.6,47.1,6.3
05145,91.3,31.6,80.7,61.5,52.2,1.8
05147,89.5,33.4,80.1,61.4,50.2,1.8
05149,92.0,31.3,80.4,61.7,52.7,2.9
06001,84.1,40.1,69.9,59.9,18.5,0.0
06003,,,,,35.2,77.1
