fips,dew_point_f,sunshine_pct
08087,49.0,44.0
08089,49.9,65.8
08091,40.9,62.9
08093,46.2,13.1
08095,52.7,59.3
08097,40.5,45.7
08099,54.7,77.9
08101,48.8,70.3
08103,40.1,32.0
08105,40.5,68.6
08107,40.2,14.3
08109,42.7,70.0
08111,40.7,67.9
08113,40.5,67.7
08115,53.3,54.2
08117,46.3,12.9
08119,46.9,24.0
08121,50.6,65.5
08123,45.8,35.1
08125,53.2,65.8
09110,60.4,24.3
09120,61.8,46.6
09130,61.0,33.5
09140,61.1,31.2
09150,60.3,18.9
09160,60.8,22.8
09170,61.4,37.3
09180,60.8,28.6
09190,61.4,23.6
10001,65.5,45.5
10003,64.4,39.9
10005,65.5,43.0
11001,64.6,25.7
12001,72.1,12.6
12003,71.8,25.3
12005,73.8,48.6
12007,72.0,15.8
12009,73.0,41.5
12011,73.7,20.9
12013,72.6,44.7
12015,73.1,49.5
12017,73.0,27.6
12019,71.9,17.7
12021,73.3,51.2
12023,71.8,18.2
12027,73.1,46.6
12029,72.2,7.1
12031,71.9,24.1
12033,73.1,41.0
12035,71.9,28.7
12037,72.8,43.0
12039,71.8,35.0
12041,72.1,9.7
12043,73.2,43.1
12045,73.2,44.2
12047,71.4,30.5
12049,73.3,45.4
12051,73.2,43.7
12053,73.2,44.4
12055,73.2,51.0
12057,73.2,36.0
12059,72.1,42.8
12061,73.0,41.3
12063,72.1,43.7
12065,71.4,36.3
12067,71.8,17.6
12069,72.3,31.9
12071,73.2,54.0
12073,71.5,34.9
12075,72.8,16.6
12077,72.3,42.2
12079,71.3,37.5
12081,73.3,44.6
12083,72.3,31.0
12085,73.5,19.6
12086,74.0,37.4
12087,74.1,34.3
12089,72.2,28.6
12091,72.7,40.3
12093,73.2,27.5
12095,72.5,41.3
12097,72.8,39.0
12099,73.6,17.0
12101,73.2,37.3
12103,73.5,47.7
12105,72.7,32.9
12107,71.8,20.0
12109,71.8,20.2
12111,73.3,26.4
12113,73.0,42.9
12115,73.3,46.1
12117,72.2,29.3
12119,72.3,31.8
12121,71.7,23.7
12123,71.8,21.3
12125,72.1,14.8
12127,72.2,28.6
12129,72.0,38.2
12131,73.0,40.3
12133,72.6,43.7
13001,72.3,47.8
13003,71.0,35.3
13005,71.7,46.5
13007,70.8,27.8
13009,69.1,55.7
13011,67.4,50.0
13013,67.4,49.2
13015,67.2,19.0
13017,71.0,32.8
13019,71.0,35.2
13021,69.3,52.9
13023,69.7,49.5
13025,72.4,40.6
13027,71.3,37.8
13029,72.0,38.8
13031,72.0,38.0
13033,69.7,51.4
13035,67.9,42.9
13037,70.6,31.4
13039,72.4,40.4
13043,71.2,46.0
13045,67.7,43.6
13047,67.2,22.6
13049,72.2,33.3
13051,72.1,41.8
13053,69.6,47.0
13055,67.2,12.4
13057,67.2,26.3
13059,67.6,58.5
13061,70.6,36.5
13063,67.2,33.9
13065,71.4,35.8
13067,67.3,34.2
13069,71.0,34.1
13071,71.0,32.1
13073,69.0,55.6
13075,71.0,35.4
13077,67.5,40.0
13079,69.4,54.8
13081,70.0,40.3
13083,67.4,18.8
13085,67.2,25.7
13087,71.1,32.2
13089,67.3,40.0
13091,69.8,46.4
13093,69.9,44.8
13095,70.6,21.5
13097,67.2,32.6
13099,70.6,35.3
13101,71.3,36.5
13103,71.9,37.7
13105,67.7,60.3
13107,70.3,49.3
13109,72.0,38.2
13111,66.9,18.3
13113,67.4,37.2
13115,67.2,8.1
13117,67.4,44.6
13119,66.4,59.7
13121,67.3,40.2
13123,67.3,22.3
13125,69.1,57.8
13127,72.8,56.3
13129,67.3,16.5
13131,71.2,30.9
13133,68.5,57.8
13135,67.3,44.0
13137,66.1,59.5
13139,67.4,47.3
13141,68.9,56.5
13143,67.8,35.3
13145,68.9,48.5
13147,66.3,59.6
13149,67.7,44.3
13151,67.3,39.5
13153,69.7,50.6
13155,71.0,32.9
13157,67.5,51.5
13159,68.9,56.4
13161,70.8,42.1
13163,69.6,57.6
13165,70.8,49.4
13167,69.6,56.2
13169,69.2,55.5
13171,68.7,45.1
13173,71.1,37.1
13175,69.6,55.4
13177,70.4,30.9
13179,72.2,45.3
13181,68.1,60.4
13183,72.2,47.1
13185,71.3,38.2
13187,67.4,37.9
13189,68.8,55.5
13191,72.4,51.1
13193,69.3,54.6
13195,67.4,55.7
13197,69.4,52.1
13199,68.5,42.6
13201,71.0,31.6
13205,70.9,27.2
13207,69.0,48.1
13209,70.2,48.0
13211,67.4,49.0
13213,67.3,20.9
13215,69.0,53.2
13217,67.3,43.8
13219,67.5,54.3
13221,67.9,55.7
13223,67.2,28.1
13225,69.5,54.5
13227,67.3,22.9
13229,72.1,44.1
13231,67.6,41.7
13233,67.6,28.1
13235,69.8,47.5
13237,68.9,56.6
13239,69.8,41.7
13241,65.7,59.2
13243,69.9,38.2
13245,69.3,58.3
13247,67.3,41.6
13249,69.4,52.8
13251,71.0,43.5
13253,71.0,33.4
13255,67.7,40.6
13257,66.1,59.5
13259,69.8,43.6
13261,70.3,35.8
13263,69.3,52.9
13265,68.6,60.2
13267,72.2,45.9
13269,69.2,54.8
13271,70.1,49.1
13273,70.1,33.8
13275,71.3,37.1
13277,71.0,32.2
13279,71.3,42.7
13281,65.8,48.5
13283,69.6,56.1
13285,68.7,44.1
13287,70.5,33.4
13289,69.5,54.2
13291,67.0,38.2
13293,69.2,54.9
13295,67.2,19.0
13297,67.4,47.5
13299,71.5,34.3
13301,68.8,60.2
13303,69.6,56.3
13305,72.3,49.4
13307,69.8,40.8
13309,70.0,49.8
13311,67.4,47.1
13313,67.2,20.5
13315,69.9,43.4
13317,68.0,60.4
13319,69.3,55.1
13321,70.8,27.9
15001,68.1,23.2
15003,67.8,28.1
15005,67.4,36.2
15007,69.6,44.2
15009,67.4,37.4
16001,41.5,63.4
16003,43.2,60.5
16005,41.7,54.0
16007,39.1,31.2
16009,44.3,28.9
16011,41.7,54.0
16013,40.9,48.9
16015,41.1,58.8
16017,44.3,29.1
16019,39.4,33.4
16021,44.3,29.0
16023,41.7,54.0
16025,40.8,54.6
16027,41.3,61.0
16029,39.1,31.5
16031,41.7,54.0
16033,41.7,54.0
16035,44.4,50.5
16037,41.9,68.8
16039,40.7,53.9
16041,39.7,36.9
16043,41.7,54.0
16045,41.9,59.1
16047,40.6,52.8
16049,44.5,50.6
16051,41.7,54.0
16053,40.8,48.1
16055,44.4,29.4
16057,44.8,40.0
16059,43.7,46.9
16061,45.2,52.4
16063,40.8,48.4
16065,41.7,54.0
16067,41.7,54.0
16069,45.0,49.2
16071,41.4,51.2
16073,40.6,51.7
16075,42.0,58.6
16077,41.7,54.0
16079,44.3,29.0
16081,38.8,28.2
16083,39.9,42.4
16085,41.9,68.8
16087,43.1,61.1
17001,64.3,46.5
17003,67.4,38.9
17005,65.8,41.9
17007,60.7,22.5
17009,64.3,47.8
17011,62.4,43.6
17013,65.9,31.4
17015,61.5,40.8
17017,64.1,56.2
17019,63.9,52.2
17021,64.7,53.9
17023,63.4,39.7
17025,65.6,51.1
17027,66.3,37.3
17029,63.9,52.7
17031,60.5,16.6
17033,64.5,43.3
17035,64.7,54.8
17037,60.6,27.3
17039,64.0,54.7
17041,63.9,52.6
17043,60.5,27.6
17045,63.4,40.2
17047,66.2,52.2
17049,65.0,52.2
17051,65.2,51.8
17053,63.5,51.3
17055,66.7,52.6
17057,63.6,56.6
17059,66.7,52.9
17061,65.3,37.0
17063,60.5,24.6
17065,66.6,53.1
17067,63.1,55.3
17069,66.9,52.9
17071,63.1,55.6
17073,62.7,56.3
17075,61.7,34.7
17077,66.5,44.5
17079,65.5,51.5
17081,66.1,42.3
17083,65.8,31.1
17085,61.5,45.2
17087,66.8,54.9
